"","date","indicator","X1Y","X2Y","X3Y","X4Y","X5Y","X7Y","X10Y"
"290",2008-08-20,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"291",2008-08-21,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"292",2008-08-22,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"293",2008-08-25,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"294",2008-08-26,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"295",2008-08-27,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"296",2008-08-28,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"297",2008-08-29,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"298",2008-09-01,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"299",2008-09-02,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"300",2008-09-03,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"301",2008-09-04,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"302",2008-09-05,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"303",2008-09-08,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"304",2008-09-09,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"305",2008-09-10,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"306",2008-09-11,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"307",2008-09-12,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"308",2008-09-15,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"309",2008-09-16,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"310",2008-09-17,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"311",2008-09-18,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"312",2008-09-19,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"313",2008-09-22,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"314",2008-09-23,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"315",2008-09-24,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"316",2008-09-25,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"317",2008-09-26,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"318",2008-09-29,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"319",2008-09-30,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"320",2008-10-01,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"321",2008-10-02,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"322",2008-10-03,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"323",2008-10-06,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"324",2008-10-07,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"325",2008-10-08,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"326",2008-10-09,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"327",2008-10-10,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"328",2008-10-13,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"329",2008-10-14,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"330",2008-10-15,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"331",2008-10-16,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"332",2008-10-17,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"333",2008-10-20,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"334",2008-10-21,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"335",2008-10-22,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"336",2008-10-23,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"337",2008-10-24,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"338",2008-10-27,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"339",2008-10-28,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"340",2008-10-29,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"341",2008-10-30,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"342",2008-10-31,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"343",2008-11-03,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"344",2008-11-04,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
