Date,3M 
11/14/2007,3.36
11/13/2007,3.36
11/12/2007,3.36
11/9/2007,3.36
11/8/2007,3.36
11/7/2007,3.36
11/6/2007,3.36
11/5/2007,3.36
11/2/2007,3.36
11/1/2007,3.36
10/31/2007,2.92
10/30/2007,3.4
10/29/2007,4.78
10/26/2007,4.78
10/25/2007,4.78
10/24/2007,4.84
10/23/2007,4.84
10/22/2007,4.56
10/19/2007,4.63
10/18/2007,5.22
10/17/2007,5.09
10/16/2007,4.67
10/15/2007,5.22
10/12/2007,5.22
10/11/2007,5.11
10/10/2007,4.66
10/9/2007,5.43
10/8/2007,5.43
10/5/2007,5.43
10/4/2007,5.43
10/3/2007,5.38
10/2/2007,6.27
10/1/2007,5.15
9/28/2007,5.14
9/27/2007,4.81
9/26/2007,5.29
9/25/2007,5.29
9/24/2007,4.98
9/21/2007,5.2
9/20/2007,5.4
9/19/2007,5.69
9/18/2007,6.9
9/17/2007,7.1
9/14/2007,7.31
9/13/2007,7.44
9/12/2007,7.43
9/11/2007,7.93
9/10/2007,7.79
9/7/2007,7.79
9/6/2007,7.79
9/5/2007,7.87
9/4/2007,7.67
9/3/2007,8.51
8/31/2007,8.51
8/30/2007,8.68
8/29/2007,8.06
8/28/2007,9.13
8/27/2007,9.13
8/24/2007,9.13
8/23/2007,13.64
8/22/2007,13.64
8/21/2007,12.49
8/20/2007,12.38
8/17/2007,12.38
8/16/2007,9.36
8/15/2007,7.74
8/14/2007,6.16
8/13/2007,6.16
8/10/2007,6.16
8/9/2007,6.16
8/8/2007,6.9
8/7/2007,6.46
8/6/2007,7.69
8/3/2007,6.64
8/2/2007,6.52
8/1/2007,6.96
7/31/2007,5.84
7/30/2007,6.19
7/27/2007,6.58
7/26/2007,6.35
7/25/2007,5.06
7/24/2007,5.07
7/23/2007,5.07
7/20/2007,5.07
7/19/2007,5.08
7/18/2007,5.07
7/17/2007,4.72
7/16/2007,5.07
7/13/2007,5.07
7/12/2007,4.77
7/11/2007,4.99
7/10/2007,4.82
7/9/2007,5.08
7/6/2007,4.73
7/5/2007,4.99
7/4/2007,4.64
7/3/2007,4.81
7/2/2007,4.64
6/29/2007,4.99
6/28/2007,4.9
6/27/2007,4.82
6/26/2007,4.73
6/25/2007,4.68
6/22/2007,4.85
6/21/2007,5.2
6/20/2007,4.55
6/19/2007,6.56
6/18/2007,6.56
6/15/2007,6.56
6/14/2007,6.56
6/13/2007,6.56
6/12/2007,6.56
6/11/2007,6.56
6/8/2007,6.56
6/7/2007,3.47
6/6/2007,4.39
6/5/2007,4.39
6/4/2007,4.39
6/1/2007,4.39
5/31/2007,4.39
5/30/2007,4.39
5/29/2007,4.39
5/28/2007,4.39
5/25/2007,4.39
5/24/2007,4.39
5/23/2007,4.39
5/22/2007,4.39
5/21/2007,4.39
5/18/2007,4.39
5/17/2007,4.39
5/16/2007,4.39
5/15/2007,4.39
5/14/2007,4.39
5/11/2007,4.39
5/10/2007,4.39
5/9/2007,4.39
5/8/2007,4.39
5/7/2007,4.39
5/4/2007,4.89
5/3/2007,4.89
5/2/2007,4.89
5/1/2007,4.89
4/30/2007,4.89
4/27/2007,4.89
4/26/2007,4.89
4/25/2007,4.89
4/24/2007,4.89
4/23/2007,4.89
4/20/2007,4.89
4/19/2007,4.89
4/18/2007,4.89
4/17/2007,4.89
4/16/2007,4.89
4/13/2007,4.89
4/12/2007,4.89
4/11/2007,4.89
4/10/2007,4.89
4/9/2007,4.89
4/6/2007,4.89
4/5/2007,4.89
4/4/2007,4.89
4/3/2007,4.89
4/2/2007,4.89
3/30/2007,4.89
3/29/2007,4.89
3/28/2007,4.89
3/27/2007,4.89
3/26/2007,4.89
3/23/2007,4.89
3/22/2007,4.89
3/21/2007,4.89
3/20/2007,4.89
3/19/2007,4.89
3/16/2007,4.89
3/15/2007,4.89
3/14/2007,4.89
3/13/2007,4.89
3/12/2007,4.89
3/9/2007,4.89
3/8/2007,4.89
3/7/2007,4.89
3/6/2007,4.89
3/5/2007,4.89
3/2/2007,4.89
3/1/2007,4.54
2/28/2007,4.61
2/27/2007,4.54
2/26/2007,3.96
2/23/2007,4.14
2/22/2007,4.18
2/21/2007,3.21
2/20/2007,2.96
2/19/2007,2.98
2/16/2007,3.15
2/15/2007,3.17
2/14/2007,4.1
2/13/2007,3.89
2/12/2007,3.54
2/9/2007,3.06
2/8/2007,3.06
2/7/2007,2.51
2/6/2007,3.52
2/5/2007,3.91
2/2/2007,3.43
2/1/2007,4.24
1/31/2007,4.24
1/30/2007,4.24
1/29/2007,4.24
1/26/2007,4.24
1/25/2007,4.24
1/24/2007,3.95
1/23/2007,3.46
1/22/2007,3.46
1/19/2007,3.43
1/18/2007,2.74
1/17/2007,3.58
1/16/2007,3.49
1/15/2007,3.24
1/12/2007,3.42
1/11/2007,3.46
1/10/2007,3.83
1/9/2007,3.65
1/8/2007,3.82
1/5/2007,3.68
1/4/2007,3.08
1/3/2007,2.96
1/2/2007,2.38
1/1/2007,5.4
12/29/2006,5.4
12/28/2006,5.4
12/27/2006,5.4
12/26/2006,5.4
12/25/2006,5.4
12/22/2006,5.4
12/21/2006,5.4
12/20/2006,5.4
12/19/2006,5.4
12/18/2006,3.59
12/15/2006,4.29
12/14/2006,3.9
12/13/2006,3.9
12/12/2006,3.84
12/11/2006,4.27
12/8/2006,5.77
12/7/2006,5.77
12/6/2006,5.77
12/5/2006,5.77
12/4/2006,5.77
12/1/2006,5.06
11/30/2006,5.06
11/29/2006,5.06
11/28/2006,5.06
11/27/2006,5.06
11/24/2006,5.06
11/23/2006,5.06
11/22/2006,5.06
11/21/2006,5.06
11/20/2006,5.06
11/17/2006,5.06
11/16/2006,5.06
11/15/2006,5.06
11/14/2006,5.06
11/13/2006,5.06
11/10/2006,5.06
11/9/2006,5.06
11/8/2006,5.06
11/7/2006,5.06
11/6/2006,5.06
11/3/2006,5.06
11/2/2006,5.06
11/1/2006,5.06
10/31/2006,5.06
10/30/2006,5.06
10/27/2006,5.06
10/26/2006,5.14
10/25/2006,5.22
10/24/2006,5.69
10/23/2006,5.68
10/20/2006,5.32
10/19/2006,5.52
10/18/2006,5.52
10/17/2006,5.52
10/16/2006,5.52
10/13/2006,5.52
10/12/2006,5.52
10/11/2006,5.52
10/10/2006,5.52
10/9/2006,5.52
10/6/2006,5.52
10/5/2006,5.52
10/4/2006,5.52
10/3/2006,5.52
10/2/2006,5.52
9/29/2006,5.68
9/28/2006,6.02
9/27/2006,6.16
9/26/2006,6.16
9/25/2006,6.88
9/22/2006,6.48
9/21/2006,5.47
9/20/2006,5.78
9/19/2006,5.78
9/18/2006,5.78
9/15/2006,5.78
9/14/2006,6.11
9/13/2006,6.19
9/12/2006,6.19
9/11/2006,6.18
9/8/2006,6.42
9/7/2006,6.02
9/6/2006,6.27
9/5/2006,6.27
9/4/2006,6.03
9/1/2006,6.35
8/31/2006,6.19
8/30/2006,6.52
8/29/2006,7.79
8/28/2006,7.79
8/25/2006,7.79
8/24/2006,7.79
8/23/2006,7.79
8/22/2006,7.79
8/21/2006,7.79
8/18/2006,7.79
8/17/2006,7.79
8/16/2006,7.79
8/15/2006,7.79
8/14/2006,7.79
8/11/2006,7.79
8/10/2006,7.79
8/9/2006,7.79
8/8/2006,7.79
8/7/2006,7.79
8/4/2006,7.79
8/3/2006,7.79
8/2/2006,7.79
8/1/2006,7.79
7/31/2006,7.79
7/28/2006,7.79
7/27/2006,7.79
7/26/2006,7.79
7/25/2006,7.79
7/24/2006,7.79
7/21/2006,7.79
7/20/2006,7.79
7/19/2006,7.79
7/18/2006,7.79
7/17/2006,7.79
7/14/2006,7.79
7/13/2006,7.74
7/12/2006,8.48
7/11/2006,7.8
7/10/2006,7.65
7/7/2006,7.78
7/6/2006,7.63
7/5/2006,7.67
7/4/2006,7.61
7/3/2006,7.89
6/30/2006,8.2
6/29/2006,8.2
6/28/2006,8.2
6/27/2006,8.2
6/26/2006,8.2
6/23/2006,8.2
6/22/2006,8.05
6/21/2006,8.06
6/20/2006,8.05
6/19/2006,7.89
6/16/2006,7.89
6/15/2006,7.83
6/14/2006,8.18
6/13/2006,8.53
6/12/2006,8.31
6/9/2006,8.3
6/8/2006,8.81
6/7/2006,7.91
6/6/2006,7.9
6/5/2006,7.88
6/2/2006,8.29
6/1/2006,8.54
5/31/2006,7.66
5/30/2006,7.65
5/29/2006,8.9
5/26/2006,9.06
5/25/2006,9.92
5/24/2006,9.95
5/23/2006,10.33
5/22/2006,9.28
5/19/2006,10.08
5/18/2006,9.69
5/17/2006,8.07
5/16/2006,10.63
5/15/2006,9.73
5/12/2006,6.78
5/11/2006,6.75
5/10/2006,6.72
5/9/2006,6.63
5/8/2006,6.09
5/5/2006,6.36
5/4/2006,6.36
5/3/2006,6.36
5/2/2006,6.36
5/1/2006,6.36
4/28/2006,6.36
4/27/2006,6.12
4/26/2006,6.2
4/25/2006,6.19
4/24/2006,5.88
4/21/2006,5.88
4/20/2006,6.03
4/19/2006,5.79
4/18/2006,6.25
4/17/2006,5.62
4/14/2006,5.62
4/13/2006,5.62
4/12/2006,5.61
4/11/2006,5.37
4/10/2006,5.36
4/7/2006,5.43
4/6/2006,4.51
4/5/2006,4.51
4/4/2006,4.74
4/3/2006,5.38
3/31/2006,5.38
3/30/2006,5.38
3/29/2006,5.46
3/28/2006,5.43
3/27/2006,5.35
3/24/2006,5.35
3/23/2006,5.35
3/22/2006,5.42
3/21/2006,5.25
3/20/2006,5.01
3/17/2006,7.06
3/16/2006,7.06
3/15/2006,7.06
3/14/2006,7.06
3/13/2006,7.06
3/10/2006,7.06
3/9/2006,7.06
3/8/2006,7.06
3/7/2006,7.06
3/6/2006,7.06
3/3/2006,7.06
3/2/2006,7.06
3/1/2006,7.06
2/28/2006,7.06
2/27/2006,7.06
2/24/2006,7.06
2/23/2006,7.06
2/22/2006,7.06
2/21/2006,7.06
2/20/2006,7.06
2/17/2006,7.06
2/16/2006,7.06
2/15/2006,7.06
2/14/2006,7.06
2/13/2006,7.06
2/10/2006,7.06
2/9/2006,7.06
2/8/2006,7.06
2/7/2006,7.06
2/6/2006,7.06
2/3/2006,7.06
2/2/2006,7.06
2/1/2006,7.06
1/31/2006,7.06
1/30/2006,7.06
1/27/2006,7.06
1/26/2006,7.06
1/25/2006,7.06
1/24/2006,7.06
1/23/2006,7.06
1/20/2006,7.06
1/19/2006,7.06
1/18/2006,7.06
1/17/2006,7.06
1/16/2006,7.06
1/13/2006,7.06
1/12/2006,7.06
1/11/2006,7.06
1/10/2006,7.06
1/9/2006,7.06
1/6/2006,7.06
1/5/2006,7.06
1/4/2006,7.06
1/3/2006,7.06
1/2/2006,7.06
12/30/2005,7.06
12/29/2005,7.06
12/28/2005,7.06
12/27/2005,7.06
12/26/2005,7.06
12/23/2005,7.06
12/22/2005,7.06
12/21/2005,7.06
12/20/2005,7.06
12/19/2005,7.06
12/16/2005,7.06
12/15/2005,7.06
12/14/2005,7.06
12/13/2005,7.06
12/12/2005,7.06
12/9/2005,7.06
12/8/2005,7.06
12/7/2005,7.06
12/6/2005,7.06
12/5/2005,7.06
12/2/2005,7.06
12/1/2005,7.06
11/30/2005,7.06
11/29/2005,7.06
