Date,1Y ,2Y,3Y,4Y,5Y,7Y,10Y
7/30/2012,2.4,2.475,2.525,2.6,2.775,3.725,4.375
7/27/2012,2.375,2.475,2.49,2.65,2.775,3.725,4.375
7/26/2012,2.375,2.525,2.55,2.65,2.775,3.725,4.375
7/25/2012,2.375,2.475,2.55,2.6,2.775,3.725,4.375
7/24/2012,2.375,2.475,2.525,2.625,2.775,3.725,4.375
7/23/2012,2.4,2.475,2.525,2.6125,2.775,3.725,4.375
7/20/2012,2.5125,2.55,2.55,2.65,2.775,3.725,4.375
7/19/2012,2.525,2.55,2.55,2.7,2.8,3.675,4.375
7/18/2012,2.475,2.475,2.475,2.6,2.75,3.675,4.375
7/17/2012,2.4,2.475,2.5,2.575,2.75,3.65,4.35
7/16/2012,2.575,2.575,2.575,2.625,2.8,3.75,4.45
7/13/2012,2.85,2.85,2.85,2.9,3.0375,3.9,4.55
7/12/2012,2.9125,2.9125,2.9125,2.9625,3.075,3.9,4.55
7/11/2012,2.9125,2.9125,2.9125,2.975,3.075,3.9,4.55
7/10/2012,2.95,2.95,2.95,3,3.1,3.9,4.55
7/9/2012,2.975,2.975,2.975,3,3.1,3.9,4.55
7/6/2012,3,3,3,3.0125,3.1,3.9,4.55
7/5/2012,2.925,2.925,2.925,2.975,3.0375,3.9,4.55
7/4/2012,2.9125,2.9125,2.9125,2.975,3.0875,3.95,4.6
7/3/2012,3.0375,3.05,3.0625,3.075,3.1575,3.95,4.6
7/2/2012,3.025,3.0375,3.0375,3.075,3.1375,3.95,4.6
6/29/2012,3.075,3.0625,3.0625,3.075,3.15,4,4.6
6/28/2012,3.0875,3.0875,3.0875,3.1,3.1875,4,4.85
6/27/2012,3.0875,3.0875,3.0875,3.1,3.1875,4,4.85
6/26/2012,3.0875,3.075,3.0875,3.1,3.1875,4,5
6/25/2012,3.075,3.075,3.075,3.0875,3.1875,3.95,5
6/22/2012,3.075,3.075,3.075,3.0875,3.1875,4.275,5.175
6/21/2012,3.075,3.075,3.075,3.0875,3.1875,4.275,5.175
6/20/2012,3.075,3.075,3.075,3.075,3.1625,4.275,5.175
6/19/2012,3.0375,3.0375,3.05,3.075,3.1625,4.275,5.175
6/18/2012,3.05,2.9875,3.0375,3.0875,3.1875,4.275,5.175
6/15/2012,3.075,3.0625,3.0875,3.1,3.2,4.275,5.175
6/14/2012,3.0625,3.0625,3.0875,3.1,3.2,4.275,5.175
6/13/2012,3.075,3.075,3.0875,3.1,3.2,4.275,5.175
6/12/2012,3.0625,3.075,3.075,3.1,3.2,4.275,5.175
6/11/2012,3.0625,3.075,3.075,3.1,3.2,4.275,5.175
6/8/2012,3.075,3.075,3.075,3.1,3.2,4.275,5.175
6/7/2012,3.075,3.0625,3.0625,3.1,3.2,4.275,5.175
6/6/2012,3.075,3.0875,3.0875,3.1125,3.2,4.275,5.175
6/5/2012,3.075,3.075,3.075,3.1,3.2,4.275,5.175
6/4/2012,3.075,3.0875,3.0875,3.125,3.2125,4.275,5.175
6/1/2012,3.075,3.0875,3.0875,3.125,3.2125,4.275,5.175
5/31/2012,3.05,3.0625,3.0625,3.1125,3.2,4.275,5.175
5/30/2012,3.1,3.0875,3.1,3.1375,3.2125,4.275,5.175
5/29/2012,3.1,3.1,3.1,3.1375,3.225,4.275,5.175
5/28/2012,3.1,3.0875,3.1,3.1375,3.225,4.275,5.175
5/25/2012,3.0875,3.1,3.1,3.1475,3.225,4.275,5.175
5/24/2012,3.0875,3.1,3.1125,3.1475,3.225,4.275,5.175
