Index,Open,High,Low,Close,Volume,Adjusted
2010-11-12,144.59,145.77,143.55,143.74,4731500,134.04
2010-11-15,143.89,144.75,143.27,143.64,3827700,133.95
2010-11-16,142.93,143.38,141.18,142.24,6342100,132.64
2010-11-17,142.49,142.49,141.39,141.95,4785900,132.37
2010-11-18,143.04,144.99,142.75,144.36,4236200,134.62
2010-11-19,144.38,145.35,143.99,145.05,5015900,135.26
2010-11-22,144,145.43,143.56,145.39,3730700,135.58
2010-11-23,144.24,144.53,142.33,143.18,4570300,133.52
2010-11-24,143.95,146.44,143.82,145.81,4874100,135.97
2010-11-26,145.3,145.3,143.57,143.9,2081300,134.19
2010-11-29,143.53,143.67,141.5,142.89,5040300,133.25
2010-11-30,142.24,142.76,141.28,141.46,7674800,131.92
2010-12-01,143.61,145.13,143.51,144.41,6822800,134.67
2010-12-02,144.33,145.85,144.3,145.18,5374000,135.38
2010-12-03,144.25,145.68,144.25,145.38,3710600,135.57
2010-12-06,144.54,145.87,144.52,144.99,3321800,135.21
2010-12-07,146.02,146.3,143.87,144.02,4828600,134.3
2010-12-08,144.35,145.65,143.84,144.98,4961400,135.2
2010-12-09,145.94,145.94,143.52,144.3,4405300,134.56
2010-12-10,144.88,144.95,143.73,144.82,3503800,135.05
2010-12-13,145.14,145.4,144.21,144.28,4741000,134.55
2010-12-14,144.26,146.01,144.26,145.82,4800800,135.98
2010-12-15,145.13,145.72,144.31,144.72,4447400,134.96
2010-12-16,144.84,145.32,144.15,144.55,4178600,134.8
2010-12-17,144.69,145.5,144.4,145,10027000,135.22
2010-12-20,145.39,145.54,144.39,144.51,3995000,134.76
2010-12-21,144.99,145.99,144.33,145.74,3777100,135.91
2010-12-22,145.66,146.4,145.58,145.95,3388800,136.1
2010-12-23,145.89,146.33,145.33,145.89,2424500,136.05
2010-12-27,145.12,145.7,145,145.34,2314700,135.53
2010-12-28,145.31,146.15,145.06,145.71,2699600,135.88
2010-12-29,146,147.5,145.71,146.52,3661100,136.63
2010-12-30,146.36,147.11,146.25,146.67,3039100,136.77
2010-12-31,146.73,147.07,145.96,146.76,2969800,136.86
2011-01-03,147.21,148.2,147.14,147.48,4603800,137.53
2011-01-04,147.56,148.22,146.64,147.64,5060100,137.68
2011-01-05,147.34,147.48,146.73,147.05,4657400,137.13
2011-01-06,147.13,148.79,146.82,148.66,5029200,138.63
2011-01-07,148.79,148.86,146.94,147.93,4135700,137.95
2011-01-10,147.58,148.06,147.23,147.64,3633400,137.68
2011-01-11,148.2,148.35,146.75,147.28,4163600,137.34
2011-01-12,147.99,149.29,147.67,149.1,4091500,139.04
2011-01-13,149.24,149.29,148.25,148.82,3445800,138.78
2011-01-14,148.89,150,148.47,150,4544200,139.88
2011-01-18,149.82,151.46,149.38,150.65,9176900,140.49
2011-01-19,153.26,156.13,152.83,155.69,12141000,145.19
2011-01-20,154.53,155.96,154.45,155.8,7439900,145.29
2011-01-21,156.4,156.78,154.96,155.5,7009000,145.01
2011-01-24,155.42,159.79,155.33,159.63,7285100,148.86
2011-01-25,159.21,164.35,159,161.44,8260800,150.55
2011-01-26,161.67,161.9,160.42,161.04,5353100,150.17
2011-01-27,161.43,162.18,160.86,161.07,4878300,150.2
