Date,6M ,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
7/17/2012,3.095,3.035,2.97,2.925,2.945,3.01,3.07,3.195,3.33
7/16/2012,3.095,3.035,2.95,2.9,2.93,2.985,3.045,3.18,3.31
7/13/2012,3.12,3.055,2.9794,2.9297,2.9548,3.0049,3.07,3.19,3.3301
7/12/2012,3.1,3.05,3,2.965,3.01,3.05,3.11,3.255,3.375
7/11/2012,3.14,3.115,3.08,3.04,3.07,3.12,3.18,3.315,3.455
7/10/2012,3.15,3.125,3.075,3.05,3.08,3.14,3.195,3.325,3.475
7/9/2012,3.135,3.12,3.075,3.035,3.075,3.125,3.175,3.315,3.45
7/6/2012,3.155,3.12,3.0948,3.0699,3.0999,3.155,3.22,3.3601,3.4951
7/5/2012,3.15,3.13,3.11,3.085,3.125,3.18,3.25,3.39,3.535
7/4/2012,3.16,3.14,3.105,3.09,3.13,3.205,3.265,3.41,3.55
7/3/2012,3.145,3.125,3.09,3.08,3.13,3.195,3.265,3.405,3.545
7/2/2012,3.145,3.135,3.1,3.09,3.14,3.205,3.275,3.42,3.56
6/29/2012,3.135,3.12,3.0852,3.0601,3.1051,3.165,3.225,3.36,3.5
6/28/2012,3.13,3.115,3.07,3.045,3.085,3.135,3.19,3.32,3.46
6/27/2012,3.15,3.135,3.09,3.07,3.12,3.18,3.24,3.38,3.52
6/26/2012,3.145,3.13,3.095,3.07,3.12,3.18,3.24,3.38,3.515
6/25/2012,3.145,3.13,3.11,3.085,3.13,3.19,3.25,3.395,3.535
6/22/2012,3.145,3.13,3.0948,3.0799,3.125,3.185,3.2501,3.3851,3.5251
6/21/2012,3.155,3.14,3.11,3.1,3.16,3.22,3.295,3.44,3.585
6/20/2012,3.15,3.13,3.105,3.095,3.165,3.235,3.305,3.45,3.595
6/19/2012,3.15,3.13,3.1,3.08,3.145,3.215,3.28,3.43,3.57
6/18/2012,3.14,3.11,3.075,3.065,3.12,3.185,3.265,3.405,3.55
6/15/2012,3.14,3.1,3.0747,3.0598,3.13,3.2,3.2701,3.4201,3.5651
6/14/2012,3.14,3.105,3.07,3.05,3.12,3.19,3.26,3.42,3.57
6/13/2012,3.15,3.11,3.08,3.06,3.135,3.2,3.28,3.43,3.57
6/12/2012,3.135,3.075,3.03,3.015,3.08,3.16,3.22,3.365,3.51
6/11/2012,3.15,3.105,3.04,3.035,3.1,3.19,3.255,3.4,3.55
6/8/2012,3.14,3.075,3.0145,2.9847,3.0449,3.115,3.17,3.3101,3.4501
6/7/2012,3.15,3.095,3.06,3.035,3.1,3.17,3.245,3.39,3.545
6/6/2012,3.145,3.09,3.055,3.025,3.075,3.14,3.205,3.35,3.5
6/5/2012,3.135,3.085,3.03,2.995,3.035,3.075,3.12,3.25,3.38
6/4/2012,3.125,3.065,3.01,2.97,3,3.035,3.08,3.2,3.33
6/1/2012,3.12,3.07,3.0095,2.9597,2.9998,3.0649,3.11,3.2501,3.3751
5/31/2012,3.15,3.095,3.055,3.015,3.06,3.14,3.22,3.37,3.52
5/30/2012,3.15,3.11,3.08,3.05,3.115,3.18,3.25,3.41,3.57
5/29/2012,3.155,3.12,3.1,3.075,3.145,3.225,3.29,3.45,3.605
5/28/2012,3.155,3.12,3.095,3.075,3.14,3.215,3.295,3.455,3.615
5/25/2012,3.155,3.12,3.0897,3.0648,3.125,3.195,3.2701,3.4301,3.5902
5/24/2012,3.15,3.11,3.085,3.055,3.1,3.175,3.24,3.385,3.535
5/23/2012,3.16,3.12,3.075,3.055,3.095,3.15,3.205,3.355,3.51
5/22/2012,3.16,3.12,3.095,3.075,3.12,3.185,3.25,3.41,3.56
5/21/2012,3.125,3.09,3.065,3.04,3.075,3.12,3.19,3.32,3.455
5/18/2012,3.125,3.09,3.0446,3.0198,3.0599,3.1,3.175,3.3151,3.4351
5/17/2012,3.145,3.115,3.095,3.075,3.125,3.185,3.255,3.4,3.54
5/16/2012,3.145,3.115,3.09,3.08,3.125,3.195,3.255,3.4,3.535
5/15/2012,3.165,3.14,3.115,3.115,3.16,3.245,3.32,3.47,3.63
5/14/2012,3.15,3.14,3.135,3.135,3.175,3.255,3.335,3.49,3.65
5/11/2012,3.16,3.16,3.1499,3.15,3.21,3.3101,3.4001,3.5802,3.7352
5/10/2012,3.165,3.16,3.16,3.16,3.22,3.32,3.42,3.6,3.755
5/9/2012,3.165,3.155,3.15,3.145,3.21,3.295,3.395,3.56,3.72
5/8/2012,3.17,3.15,3.15,3.15,3.21,3.31,3.41,3.585,3.735
5/7/2012,3.165,3.15,3.15,3.15,3.22,3.315,3.42,3.555,3.72
5/4/2012,3.185,3.18,3.18,3.19,3.2851,3.3802,3.4802,3.6552,3.8102
5/3/2012,3.185,3.18,3.18,3.19,3.275,3.38,3.48,3.655,3.82
5/2/2012,3.175,3.175,3.185,3.2,3.29,3.4,3.5,3.685,3.84
5/1/2012,3.175,3.175,3.185,3.2,3.295,3.405,3.51,3.685,3.855
4/30/2012,3.175,3.175,3.185,3.2,3.2951,3.4051,3.5101,3.6851,3.8551
4/27/2012,3.175,3.175,3.185,3.2,3.2951,3.4052,3.5052,3.6802,3.8402
4/26/2012,3.175,3.175,3.19,3.21,3.31,3.42,3.53,3.71,3.88
4/25/2012,3.175,3.17,3.18,3.2,3.295,3.405,3.515,3.695,3.86
4/24/2012,3.165,3.165,3.165,3.185,3.275,3.39,3.495,3.67,3.84
