Index,Indicator,Up,Down,Forecasts,ar,ma,p,q
1953-09-02,1,1,0,0.00377804563610373,0,2,1,1
1953-09-03,-1,0,-1,-0.000524769358162134,0,2,1,1
1953-09-04,-1,0,-1,-0.00139183304234447,5,0,1,1
1953-09-08,1,1,0,0.00117580972633448,2,5,1,1
1953-09-09,1,1,0,0.000654449901711568,3,3,1,1
1953-09-10,1,1,0,0.000118626086701719,2,5,1,1
1953-09-11,-1,0,-1,-0.00248810394375847,0,2,1,1
1953-09-14,-1,0,-1,-0.000795261243746526,3,3,1,1
1953-09-15,-1,0,-1,-0.00290243050576233,0,2,1,1
1953-09-16,1,1,0,0.00466507805522283,0,2,1,1
1953-09-17,-1,0,-1,-0.000954681850935374,5,2,1,1
1953-09-18,1,1,0,0.000212061996838751,4,1,1,1
1953-09-21,-1,0,-1,-0.00289994064963244,2,4,1,1
1953-09-22,1,1,0,0.00120356454003396,5,3,1,1
1953-09-23,1,1,0,0.00290176125471723,0,2,1,1
1953-09-24,-1,0,-1,-0.0020127202548543,3,3,1,1
1953-09-25,-1,0,-1,-0.000699394116531251,5,3,1,1
1953-09-28,-1,0,-1,-6.93338366217301e-05,5,3,1,1
1953-09-29,1,1,0,0.00163031686144297,5,3,1,1
1953-09-30,-1,0,-1,-0.000477064900666382,2,5,1,1
1953-10-01,-1,0,-1,-0.00235869291870476,2,4,1,1
1953-10-02,1,1,0,0.00241416422966219,3,5,1,1
1953-10-05,-1,0,-1,-0.00106460179106064,5,3,1,1
1953-10-06,-1,0,-1,-0.00217453595834713,3,3,1,1
1953-10-07,1,1,0,0.000106337070510662,4,3,1,1
1953-10-08,1,1,0,0.00305506370423569,5,3,1,1
1953-10-09,1,1,0,8.98930762096644e-05,3,4,1,1
